Unnamed: 0,n_pets,labels,thresholds,coords,x_min,x_max,y_min,y_max,pet_ratio
0,3,"['dog', 'dog', 'dog']","[0.9322423, 0.88928235, 0.4249036]","[(120.75162, 115.20224, 326.37906, 475.21588), (203.4031, 66.711914, 404.27048, 229.32634), (0.2019639, 15.112939, 32.94851, 280.08987)]",203.4031067,32.94850922,115.20224,229.3263397,0.347671468
1,1,['cat'],[0.86200047],"[(649.0417, 199.08391, 891.9737, 474.96515)]",649.041687,891.9736938,199.0839081,474.9651489,0.083315806
2,1,['dog'],[0.9127059],"[(107.97418, 60.705757, 579.3096, 681.75165)]",107.9741821,579.3095703,60.70575714,681.7516479,0.4240625
3,1,['dog'],[0.93303984],"[(0.0033988953, 218.00368, 403.63837, 559.1671)]",0.003398895,403.6383667,218.0036774,559.1671143,0.471272291
4,2,"['cat', 'dog']","[0.8321156, 0.52108324]","[(51.75762, 216.56128, 511.45386, 650.1572), (52.28611, 213.92099, 512.7675, 650.9209)]",52.28610992,511.4538574,216.5612793,650.1572266,0.388607253
5,1,['dog'],[0.8822798],"[(179.84232, 332.1168, 441.46884, 540.3107)]",179.8423157,441.4688416,332.1167908,540.31073,0.105123457
6,1,['dog'],[0.8862569],"[(161.12924, 222.93929, 487.1922, 949.3041)]",161.1292419,487.1921997,222.9392853,949.3040771,0.342884838
7,9,"['dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog']","[0.9208866, 0.9094176, 0.8898537, 0.74987763, 0.7084139, 0.6950074, 0.5810915, 0.40523097, 0.30510125]","[(882.76013, 700.54364, 1137.6715, 978.7966), (809.2107, 34.056824, 1034.3635, 430.01407), (217.9802, 27.645226, 452.18594, 260.70334), (268.43405, 858.04785, 412.71463, 1103.2501), (88.433945, 722.1339, 411.12268, 908.9512), (150.86064, 271.66022, 528.041, 562.4351), (115.24477, 498.5939, 482.47382, 721.42957), (221.79434, 368.84766, 413.38486, 599.5631), (93.19121, 697.12476, 413.7641, 1110.8984)]",882.7601318,411.1226807,858.0478516,260.7033386,0.312056885
8,1,['cat'],[0.85399836],"[(2.403717, 4.9281006, 649.7305, 955.86755)]",2.403717041,649.7305298,4.928100586,955.8675537,0.890186632
9,1,['cat'],[0.89729834],"[(11.01946, 2.5305245, 1220.7594, 840.18494)]",11.01945972,1220.759399,2.530524492,840.1849365,0.935225553
